name,gender,slug,quotes_vec,tweet,tweet_link,people_mentioned,date
Alicia Machado,woman,alicia-machado,my worst Miss U.,"Wow, Crooked Hillary was duped and used by my worst Miss U. Hillary floated her as an ""angel"" without checking her past, which is terrible!",https://twitter.com/realDonaldTrump/status/781784161044553728,1,2016-09-30T09:14:03+0000
Alicia Machado,woman,alicia-machado,a con,Using Alicia M in the debate as a paragon of virtue just shows that Crooked Hillary suffers from BAD JUDGEMENT! Hillary was set up by a con.,https://twitter.com/realDonaldTrump/status/781785509639118848,1,2016-09-30T09:19:25+0000
Alicia Machado,woman,alicia-machado,disgusting (check out sex tape and past),Did Crooked Hillary help disgusting (check out sex tape and past) Alicia M become a U.S. citizen so she could use her in the debate?,https://twitter.com/realDonaldTrump/status/781788223055994880,1,2016-09-30T09:30:11+0000
Mark Cuban,man,mark-cuban,dopey,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",https://twitter.com/realDonaldTrump/status/779729180334387200,1,2016-09-24T17:08:17+0000
Maureen Dowd,woman,maureen-dowd,Wacky,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",https://twitter.com/realDonaldTrump/status/777197604887113728,1,2016-09-17T17:28:43+0000
Maureen Dowd,woman,maureen-dowd,hardly knows me,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",https://twitter.com/realDonaldTrump/status/777197604887113728,1,2016-09-17T17:28:43+0000
Maureen Dowd,woman,maureen-dowd,makes up things that I never said,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",https://twitter.com/realDonaldTrump/status/777197604887113728,1,2016-09-17T17:28:43+0000
Maureen Dowd,woman,maureen-dowd,boring interviews and column,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",https://twitter.com/realDonaldTrump/status/777197604887113728,1,2016-09-17T17:28:43+0000
Maureen Dowd,woman,maureen-dowd,A neurotic dope!,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",https://twitter.com/realDonaldTrump/status/777197604887113728,1,2016-09-17T17:28:43+0000
Maureen Dowd,woman,maureen-dowd,Crazy,"Crazy Maureen Dowd, the wacky columnist for the failing @nytimes, pretends she knows me well--wrong!",https://twitter.com/realDonaldTrump/status/777197786039103488,1,2016-09-17T17:29:26+0000
Maureen Dowd,woman,maureen-dowd,wacky,"Crazy Maureen Dowd, the wacky columnist for the failing @nytimes, pretends she knows me well--wrong!",https://twitter.com/realDonaldTrump/status/777197786039103488,1,2016-09-17T17:29:26+0000
Maureen Dowd,woman,maureen-dowd,pretends she knows me well--wrong!,"Crazy Maureen Dowd, the wacky columnist for the failing @nytimes, pretends she knows me well--wrong!",https://twitter.com/realDonaldTrump/status/777197786039103488,1,2016-09-17T17:29:26+0000
Robert Gates,man,robert-gates,knows nothing about me,I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!,https://twitter.com/realDonaldTrump/status/777112789672341504,1,2016-09-17T11:51:41+0000
Robert Gates,man,robert-gates,a total disaster!,I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!,https://twitter.com/realDonaldTrump/status/777112789672341504,1,2016-09-17T11:51:41+0000
Robert Gates,man,robert-gates,never liked,"Never met but never liked dopey Robert Gates. Look at the mess the U.S. is in. Always speaks badly of his many bosses, including Obama.",https://twitter.com/realDonaldTrump/status/777284744253812740,1,2016-09-17T23:14:58+0000
Robert Gates,man,robert-gates,dopey,"Never met but never liked dopey Robert Gates. Look at the mess the U.S. is in. Always speaks badly of his many bosses, including Obama.",https://twitter.com/realDonaldTrump/status/777284744253812740,1,2016-09-17T23:14:58+0000
Robert Gates,man,robert-gates,Always speaks badly of his many bosses,"Never met but never liked dopey Robert Gates. Look at the mess the U.S. is in. Always speaks badly of his many bosses, including Obama.",https://twitter.com/realDonaldTrump/status/777284744253812740,1,2016-09-17T23:14:58+0000
Colin Powell,man,colin-powell,I was never a fan,I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!,https://twitter.com/realDonaldTrump/status/776269061823074304,1,2016-09-15T03:59:01+0000
Colin Powell,man,colin-powell,weak understanding of weapons of mass destruction in Iraq,I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!,https://twitter.com/realDonaldTrump/status/776269061823074304,1,2016-09-15T03:59:01+0000
Tony Schwartz,man,tony-schwartz,Dummy writer,"Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!",https://twitter.com/realDonaldTrump/status/774484342030602240,1,2016-09-10T05:47:11+0000
Tony Schwartz,man,tony-schwartz,wanted to do a second book with me for years (I said no),"Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!",https://twitter.com/realDonaldTrump/status/774484342030602240,1,2016-09-10T05:47:11+0000
Tony Schwartz,man,tony-schwartz,a hostile basket case who feels jilted!,"Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!",https://twitter.com/realDonaldTrump/status/774484342030602240,1,2016-09-10T05:47:11+0000
Tony Schwartz,man,tony-schwartz,hardly knows me,"I havn't seen @tonyschwartz in many years, he hardly knows me. Never liked his style. Super lib, Crooked H supporter. Irrelevant dope!",https://twitter.com/realDonaldTrump/status/774487060384276480,1,2016-09-10T05:57:59+0000
Tony Schwartz,man,tony-schwartz,Never liked his style,"I havn't seen @tonyschwartz in many years, he hardly knows me. Never liked his style. Super lib, Crooked H supporter. Irrelevant dope!",https://twitter.com/realDonaldTrump/status/774487060384276480,1,2016-09-10T05:57:59+0000
Tony Schwartz,man,tony-schwartz,Irrelevant dope!,"I havn't seen @tonyschwartz in many years, he hardly knows me. Never liked his style. Super lib, Crooked H supporter. Irrelevant dope!",https://twitter.com/realDonaldTrump/status/774487060384276480,1,2016-09-10T05:57:59+0000
Bakari Sellers,man,bakari-sellers,failed @CNN announcer,"Henry McMaster, Lt. Governor of South Carolina who endorsed me, beat failed @CNN announcer Bakari Sellers, so badly. Funny!",https://twitter.com/realDonaldTrump/status/774299479155544064,1,2016-09-09T17:32:36+0000
Jeff Zucker,man,jeff-zucker,failed @NBC and he is now failing @CNN,Jeff Zucker failed @NBC and he is now failing @CNN.,https://twitter.com/realDonaldTrump/status/774256782290128896,1,2016-09-09T14:42:56+0000
Rodrigo Duterte,man,rodrigo-duterte,Terrible!,"China wouldn't provide a red carpet stairway from Air Force One and then Philippines President calls Obama ""the son of a whore."" Terrible!",https://twitter.com/realDonaldTrump/status/773116580733587456,1,2016-09-06T11:12:11+0000
Jeff Flake,man,jeff-flake,weak,"The Republican Party needs strong and committed leaders, not weak people such as @JeffFlake, if it is going to stop illegal immigration.",https://twitter.com/realDonaldTrump/status/772556213313765377,1,2016-09-04T22:05:29+0000
Jeff Flake,man,jeff-flake,a very weak and ineffective Senator,"The Great State of Arizona, where I just had a massive rally (amazing people), has a very weak and ineffective Senator, Jeff Flake. Sad!",https://twitter.com/realDonaldTrump/status/772571293438840832,1,2016-09-04T23:05:24+0000
Jeff Flake,man,jeff-flake,Sad!,"The Great State of Arizona, where I just had a massive rally (amazing people), has a very weak and ineffective Senator, Jeff Flake. Sad!",https://twitter.com/realDonaldTrump/status/772571293438840832,1,2016-09-04T23:05:24+0000
Jeff Flake,man,jeff-flake,Really sad,"Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham, Romney, Flake, Sass. SUPREME COURT, REMEMBER!",https://twitter.com/realDonaldTrump/status/774637168769830912,1,2016-09-10T15:54:27+0000
Donny Deutsch,man,donny-deutsch,a big failure in TV,"I heard that @Morning_Joe was very nice on Friday but that little Donny D, a big failure in TV (&amp; someone I helped), was nasty. Irrelevant!",http://twitter.com/realDonaldTrump/status/767528750749810688,1,2016-08-22T01:08:08
Donny Deutsch,man,donny-deutsch,Irrelevant!,"I heard that @Morning_Joe was very nice on Friday but that little Donny D, a big failure in TV (&amp; someone I helped), was nasty. Irrelevant!",http://twitter.com/realDonaldTrump/status/767528750749810688,1,2016-08-22T01:08:08
Don Lemon,man,don-lemon,a lightweight,.@dbongino You were fantastic in defending both the Second Amendment and me last night on @CNN. Don Lemon is a lightweight - dumb as a rock,https://twitter.com/realDonaldTrump/status/763391459110313984,1,2016-08-10T15:08:01+0000
Don Lemon,man,don-lemon,dumb as a rock,.@dbongino You were fantastic in defending both the Second Amendment and me last night on @CNN. Don Lemon is a lightweight - dumb as a rock,https://twitter.com/realDonaldTrump/status/763391459110313984,1,2016-08-10T15:08:01+0000
Michael J. Morell,man,michael-morell,lightweight,"Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!",https://twitter.com/realDonaldTrump/status/762425371874557952,1,2016-08-07T23:09:08+0000
Michael J. Morell,man,michael-morell,has made serious bad calls,"Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!",https://twitter.com/realDonaldTrump/status/762425371874557952,1,2016-08-07T23:09:08+0000
Michael J. Morell,man,michael-morell,a total Clinton flunky!,"Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!",https://twitter.com/realDonaldTrump/status/762425371874557952,1,2016-08-07T23:09:08+0000
Stephanie Rawlings-Blake,woman,stephanie-rawlings-blake,a joke!,I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!,https://twitter.com/realDonaldTrump/status/762284533341417472,1,2016-08-07T13:49:29+0000
Michael Bloomberg,man,michael-bloomberg,Little,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",https://twitter.com/realDonaldTrump/status/759025610249216000,1,2016-07-29T13:59:42+0000
Michael Bloomberg,man,michael-bloomberg,never had the guts to run for president,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",https://twitter.com/realDonaldTrump/status/759025610249216000,1,2016-07-29T13:59:42+0000
Michael Bloomberg,man,michael-bloomberg,his last term as Mayor was a disaster!,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",https://twitter.com/realDonaldTrump/status/759025610249216000,1,2016-07-29T13:59:42+0000
John R. Allen,man,john-allen,failed badly in his fight against ISIS,"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD #NeverHillary",https://twitter.com/realDonaldTrump/status/759024055123009536,1,2016-07-29T13:53:31+0000
John R. Allen,man,john-allen,his record = BAD,"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD #NeverHillary",https://twitter.com/realDonaldTrump/status/759024055123009536,1,2016-07-29T13:53:31+0000
Joe Biden,man,joe-biden,not very bright,"Our not very bright Vice President, Joe Biden, just stated that I wanted to ""carpet bomb"" the enemy. Sorry Joe, that was Ted Cruz!",https://twitter.com/realDonaldTrump/status/758285141982711808,1,2016-07-27T12:57:20+0000
Cory Booker,man,cory-booker,"If Cory Booker is the future of the Democratic Party, they have no future!","If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself.",https://twitter.com/realDonaldTrump/status/757760973419712512,1,2016-07-26T02:14:29+0000
Cory Booker,man,cory-booker,I know more about Cory than he knows about himself.,"If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself.",https://twitter.com/realDonaldTrump/status/757760973419712512,1,2016-07-26T02:14:29+0000
Debbie Wasserman Schultz,woman,debbie-wasserman-schultz,overrated,"I always said that Debbie Wasserman Schultz was overrated. The Dems Convention is cracking up and Bernie is exhausted, no energy left!",https://twitter.com/realDonaldTrump/status/757311921095925760,1,2016-07-24T20:30:06+0000
Debbie Wasserman Schultz,woman,debbie-wasserman-schultz,highly neurotic,"The highly neurotic Debbie Wasserman Schultz is angry that, after stealing and cheating her way to a Crooked Hillary victory, she's out!",https://twitter.com/realDonaldTrump/status/757343025983057922,1,2016-07-24T22:33:42+0000
Tim Kaine,man,tim-kaine,took hundreds of thousands of dollars in gifts,Is it the same Kaine that took hundreds of thousands of dollars in gifts while Governor of Virginia and didn't get indicted while Bob M did?,https://twitter.com/realDonaldTrump/status/756691116464959488,1,2016-07-23T03:23:15+0000
Tim Kaine,man,tim-kaine,owned by the banks,"Tim Kaine is, and always has been, owned by the banks. Bernie supporters are outraged, was their last choice. Bernie fought for nothing!",https://twitter.com/realDonaldTrump/status/756799923648102400,1,2016-07-23T10:35:37+0000
