slug	display_name	sort_field	display_title	entity_type	tag2	category
penn-jillette	Penn Jillette	Jillette	Performer	people	celebrity	man
samuel-l-jackson	Samuel L. Jackson	Jackson	Actor	people	celebrity	man
woody-johnson	Woody Johnson	Johnson	"Owner, the New York Jets"	people	celebrity	man
whoopi-goldberg	Whoopi Goldberg	Goldberg	Actress and television personality	people	celebrity	woman
ronda-rousey	Ronda Rousey	Rousey	Mixed martial artist	people	celebrity	woman
paulina-vega	Paulina Vega	Vega	"Miss Universe, 2014"	people	celebrity	woman
neil-young	Neil Young	Young	Musician	people	celebrity	man
john-oliver	John Oliver	Oliver	"Comedian, Host, Last Week Tonight"	people	celebrity	man
hillary-clinton	Hillary Clinton	Clinton	Former secretary of state	current and former presidential candidates	dem-candidates	woman
martin-o-malley	Martin O'Malley	O'Malley	Former Maryland governor	current and former presidential candidates	dem-candidates	man
lincoln-chafee	Lincoln Chafee	Chafee	Former Rhode Island governor	current and former presidential candidates	dem-candidates	man
bernie-sanders	Bernie Sanders	Sanders	United States senator	current and former presidential candidates	dem-candidates	man
tim-kaine	Tim Kaine	Kaine	"Senator, Democratic vice-presidential nominee"	people	democratic-politician	man
barack-obama	Barack Obama	Obama	President of the United States	people	democratic-politician	man
bill-deblasio	Bill de Blasio	deBlasio	Mayor of New York City	people	democratic-politician	man
bill-clinton	Bill Clinton	Clinton	Former president of the United States	people	democratic-politician	man
michael-nutter	Michael Nutter	Nutter	Former mayor of Philadelphia	people	democratic-politician	man
marty-walsh	Marty Walsh	Walsh	Mayor of Boston	people	democratic-politician	man
ben-cardin	Ben Cardin	Cardin	Maryland senator	people	democratic-politician	man
elizabeth-warren	Elizabeth Warren	Warren	United States senator	people	democratic-politician	woman
the-clintons	Bill and Hillary Clinton	Clinton		people	democratic-politician	group
sam-liccardo	Sam Liccardo	Liccardo	"Mayor of San Jose, Calif."	people	democratic-politician	man
anthony-weiner	Anthony D. Weiner	Weiner	Former United States congressman from New York and former candidate for Mayor of New York City	people	democratic-politician	man
debbie-wasserman-schultz	Debbie Wasserman Schultz	Schultz	United States congresswoman	people	democratic-politician	woman
cory-booker	Cory Booker	Booker	United States senator	people	democratic-politician	man
politicians	Politicians	Politicians		groups	group	group
presidential-candidates	Other presidential candidates	Other presidential candidates	Mostly Republican politicians	groups	group	group
people	People	People	Group	groups	group	group
jeb-bush-campaign	Jeb Bush campaign 	"Bush, Jeb Campaign"	The presidential campaign of Jeb Bush	groups	group	group
isis	ISIS	ISIS	Terrorist group	groups	group	group
democrats	Democrats	Democrats	Political party	groups	group	group
democratic-candidates	The Democratic candidates	Democratic Candidates	Group	groups	group	group
us-leaders	U.S. leaders	United States Leaders	Group	groups	group	group
trump-opposition	Donald Trump opposition	"Trump, Donald"		groups	group	group
the-republican-establishment	The Republican establishment	Republican Establishment	Group	groups	group	group
super-pacs	Super PACs	Super PACs	Political fund-raising committees	groups	group	group
republicans	Republicans	Republicans	Group	groups	group	group
republican-party	The Republican Party	Republican Party	Political party	groups	group	group
republican-candidates	Republican presidential candidates	Group	group	groups	group	group
politically-correct-fools	Politically correct' fools	Politically correct fools	Group	groups	group	group
other-republican-candidates	Other Republican candidates	"Republican candidates, other"	Group	groups	group	group
obama-administration	The Obama administration	Obama administration		groups	group	group
jeb-bush-supporters	Jeb Bush supporters 	"Bush, Jeb"		groups	group	group
european-leaders	European leaders	European leaders	group	groups	group	group
club-for-growth	Club for Growth	Club for Growth	Antitax political group	groups	group	group
ted-cruz-campaign	Ted Cruz campaign	Cruz	The Presidential Campaign of Ted Cruz	groups	group	group
john-roberts	John Roberts	Roberts	Supreme Court chief justice	people	people-other	man
ruth-bader-ginsburg	Ruth Bader Ginsburg	Bader	Supreme Court Justice	people	people-other	woman
wall-street-journal-editorial-board	The Wall Street Journal editorial board	Wall Street Journal Ed	Opinion pages of the Wall Street Journal	media	media-figure	group
megyn-kelly	Megyn Kelly	Kelly	Fox News anchor	people	media-figure	woman
glenn-beck	Glenn Beck	Beck	Television personality	people	media-figure	man
chuck-todd	Chuck Todd	"Todd, Chuck"	"Moderator, Meet the Press"	people	media-figure	man
george-will	George Will	Will	Columnist	people	media-figure	man
charles-krauthammer	Charles Krauthammer	Krauthammer	Columnist	people	media-figure	man
s-e-cupp	S.E. Cupp	Cupp	Columnist	people	media-figure	man
erick-erickson	Erick Erickson	Erickson	Conservative commentator	people	media-figure	man
katy-tur	Katy Tur	Tur	"Journalist, NBC News"	people	media-figure	woman
clare-o-connor	Clare O'Connor	O'Connor	"Staff writer, Forbes"	people	media-figure	woman
bill-kristol	Bill Kristol	Kristol	"Editor, The Weekly Standard"	people	media-figure	man
arianna-huffington	Arianna Huffington	Huffington	"Founder, The Huffington Post"	people	media-figure	woman
tim-o-brien	Tim O'Brien	O'Brien	"Journalist, Bloomberg"	people	media-figure	man
rich-lowry	Rich Lowry	Lowry	"Editor, National Review"	people	media-figure	man
nicole-wallace	Nicolle Wallace	"Wallace, Nicolle"	"Former co-host, The View"	people	media-figure	woman
marc-thiessen	Marc Thiessen	Thiessen	Columnist and Fox News contributor	people	media-figure	man
maggie-haberman	Maggie Haberman	Haberman	"Journalist, The New York Times"	people	media-figure	woman
lawrence-o-donnell	Lawrence O'Donnell	O'Donnell	"Television host, MSNBC"	people	media-figure	man
jonathan-martin	Jonathan Martin	Martin	"Journalist, The New York Times"	people	media-figure	man
harry-hurt	Harry Hurt III	Hurt	"Author, Lost Tycoon: The Many Lives of Donald J. Trump"	people	people-other	man
graydon-carter	Graydon Carter	Carter	"Editor, Vanity Fair"	people	media-figure	man
