name,bio,num_insults,date_of_first_insult
Alwaleed bin Talal,"Al-Waleed Bin Talal bin Abdulaziz al Saud is a Saudi business magnate, investor, and philanthropist. He is a member of the Saudi royal family.",2,2015-12-12T03:53:02+0000
Brit Hume,"Alexander Britton ""Brit"" Hume is an American television journalist and political commentator.
Hume had a 23-year career with ABC News, where he contributed to World News Tonight with Peter Jennings, Nightline and This Week. ",2,2016-02-17T03:04:22+0000
Alisyn Camerota,"Alisyn Lane Camerota is an American television news journalist who is co-anchoring CNN's New Day. She has co-anchored CNN Tonight, and served in many roles during a 16-year career at the Fox News Channel.",1,2016-01-21T20:36:09+0000
Amy Chozick,Amy Chozick is an American political reporter who works for the New York Times and primarily writes about Hillary Clinton and her family.,2,2015-12-24T22:31:41+0000
Ana Navarro,"Ana Navarro Flores is a Nicaraguan-born American Republican strategist and political commentator for various news outlets, including CNN, CNN en Espa̱ol, ABC News, Telemundo, and The View.",3,2015-11-09T20:03:30+0000
Anderson Cooper,Anderson Hays Cooper is an American author and television personality. He is the primary anchor of the CNN news show Anderson Cooper 360. ,1,2015-07-23T02:47:26+0000
Angela Merkel,"Angela Dorothea Merkel is a German stateswoman and former research scientist. Merkel has been the Chancellor of Germany since 2005, and the leader of the Christian Democratic Union since 2000.",1,2015-12-09T13:53:59+0000
Anthony D. Weiner,"Anthony David Weiner is an American politician and former Congressman who served New York's 9th congressional district from January 1999 until June 2011. A member of the Democratic Party, he won seven terms, never receiving less than 59% of the vote. ",2,2015-08-31T11:52:44+0000
Arianna Huffington,"Arianna Huffington is a Greek American author, syndicated columnist, occasional actress, and businesswoman.
Huffington is the co-founder and editor-in-chief of The Huffington Post, which is now owned by AOL. ",2,2015-07-18T13:37:55+0000
Bakari Sellers,Bakari T. Sellers is an American politician and attorney. He represented South Carolina's 90th district in the lower house of the state legislature from 2006 to 2014. ,1,2016-09-09T17:32:36+0000
Barack Obama,Barack Hussein Obama II is an American politician who is the 44th and current President of the United States. He is the first African American to hold the office and the first president born outside the continental United States. ,25,2015-07-02T19:41:00+00:00
Ben Sasse,"Benjamin Eric ""Ben"" Sasse is an American politician. Sasse, a member of the Republican Party, is the junior United States Senator from the state of Nebraska.",4,2016-01-30T01:10:56+0000
Ben Cardin,"Benjamin Louis ""Ben"" Cardin is an American politician and member of the Democratic Party who serves as the junior United States Senator from Maryland, in office since 2007. ",1,2015-06-24T14:16:48+00:00
