name,bio,num_insults,date_of_first_insult
Hillary Clinton,Hillary Clinton is a Former United States Secretary of State and current Democratic nominee for President.,371,2015-09-05T21:42:32+0000
Ted Cruz,Ted Cruz is a Senator from Texas and former Republican Presidential Candidate.,110,2015-12-11T12:49:46+0000
Jeb Bush,Jeb Bush is the former Governor of Florida and a former Republican Presidential Candidate.,93,2015-06-25T00:48:24+00:00
Marco Rubio,Marco Rubio is a Senator from Florida and former Republican Presidential Candidate.,82,2015-09-23T01:46:13+0000
Elizabeth Warren,,54,2016-05-06T23:15:58+0000
Karl Rove,,48,2015-07-15T15:01:37+0000
Megyn Kelly,Megyn Kelly is a Fox News commentator and conservative TV personality.,38,2015-08-07T07:40:41+0000
Bernie Sanders,,26,2015-08-22T20:23:47+0000
John Kasich,John Kasich is the Governor of Ohio and a former 2016 Republican Presidential Candidate.,25,2015-11-01T02:31:01+0000
Barack Obama,Barack Obama is the President of the United States.,25,2015-07-02T19:41:00+00:00
Mitt Romney,Mitt Romney is the Former Governor of Massachusetts and 2012 Republic Presidential Nominee.,24,2015-07-18T20:46:53+0000
Chuck Todd,,20,2015-07-12T21:08:52+0000
Glenn Beck,Glenn Beck is a radio host and conservative TV personality.,18,2015-10-08T15:44:04+0000
Lindsey Graham,,15,2015-11-21T15:35:30+0000
Stuart Stevens,,12,2015-10-05T23:40:16+0000
George Will,,12,2015-08-17T18:13:11+0000
Mika Brzezinski,,10,2016-06-03T13:05:53+0000
John McCain,,10,2015-07-16T20:39:56+0000
Charles Krauthammer,,9,2015-07-09T11:14:56+00:00
Cheri Jacobus,,8,2015-12-04T15:00:45+0000
Rand Paul,,8,2015-08-11T00:41:58+0000
Maureen Dowd,,8,2016-09-17T17:28:43+0000
Bill Kristol,,8,2015-10-26T22:19:56+0000
Bill Clinton,,8,2015-12-27T00:31:07+0000
Erick Erickson,,8,2015-08-09T03:45:40+0000
Carly Fiorina,Carly Fiorina is the former CEO of Hewlett-Packard and a former 2016 Republican Presidential Candidate.,8,2015-08-09T19:06:21+0000
S.E. Cupp,,8,2015-12-10T02:15:31+0000
Ben Carson,Ben Carson is a former neurosurgen and a former 2016 Republican Presidential Candidate.,7,2015-10-25T11:34:59+0000
Bob Vander Plaats,,7,2016-01-26T15:55:01
Katy Tur,,7,2015-12-06T00:36:03+0000
Rick Perry,,7,2015-07-05T14:44:31+00:00
Penn Jillette,,7,2015-07-16T10:18:31+0000
Frank Luntz,,6,2015-07-23T02:14:12+0000
Elizabeth Beck,,6,2015-07-29T12:28:24+0000
David Brooks,,6,2016-03-06T17:25:25+0000
George Pataki,,6,2015-07-01T21:09:35+00:00
Tony Schwartz,,6,2016-09-10T05:47:11+0000
Scott Walker,Scott Walker is the Governor of Wisconsin and former Republican Presidential Candidate.,6,2015-07-25T16:59:49+0000
Bill de Blasio,Bill de Blasio is the current mayor of New York City.,5,2015-11-20T20:13:29+0000
Rich Lowry,,5,2015-09-22T02:22:27+0000
Robert Gates,,5,2016-09-17T11:51:41+0000
Gonzalo P. Curiel,,5,2016-05-30T21:45:09+0000
Jeff Flake,,4,2016-09-04T22:05:29+0000
Katie Couric,,4,2016-05-31T23:14:42+0000
Sopan Deb,,4,2015-12-06T00:36:03+0000
Ruth Bader Ginsburg,Ruth Bader Ginsburg is a Supreme Court Justice.,4,2016-07-13T04:54:40+0000
Harry Hurt III,,4,2015-07-29T21:44:56+0000
Lawrence O'Donnell,,4,2015-06-25T12:19:39+00:00
George W. Bush,George W. Bush was the 43rd President of the United States of America.,4,2015-07-09T11:25:43+00:00
Joe Scarborough,,4,2016-05-06T18:03:34+0000
Ben Sasse,,4,2016-01-30T01:10:56+0000
Marc Thiessen,,4,2015-10-16T02:00:12+0000
Meghan McCain,,4,2015-09-05T11:56:51+0000
Tim Kaine,,4,2016-07-23T03:23:15+0000
Mort Zuckerman,,4,2015-06-28T23:23:25+00:00
Samuel L. Jackson,,4,2016-01-05T17:42:47+0000
Michael Bloomberg,,3,2016-07-29T13:59:42+0000
Jonathan Martin,,3,2015-09-24T16:55:20+0000
Alicia Machado,,3,2016-09-30T09:14:03+0000
Tim O'Brien,,3,2015-07-23T02:47:26+0000
Michael Barbaro,,3,2016-05-16T22:15:52+0000
Major Garrett,,3,2016-01-12T01:49:59+0000
Bobby Jindal,,3,2015-09-11T13:12:09+0000
Graydon Carter,,3,2015-10-16T21:33:41+0000
Chris Stirewalt,,3,2015-10-16T02:00:12+0000
John Sununu,,3,2015-07-27T21:01:07+0000
Maggie Haberman,,3,2015-12-09T12:06:06+0000
