"insult_slugs","quotes_vec","tweet","tweet_link","people_mentioned","date"
"sam-liccardo","did a terrible job","The Mayor of San Jose did a terrible job of ordering the protection of innocent people. The thugs were lucky supporters remained peaceful!","https://twitter.com/realDonaldTrump/status/739082059348619264","1","2016-06-04T13:11:09+0000"
"mika-brzezinski","has gone wild with hate","I don't watch or do @Morning_Joe anymore. Small audience, low ratings! I hear Mika has gone wild with hate. Joe is Joe. They lost their way!","https://twitter.com/realDonaldTrump/status/738718346045063168","1","2016-06-03T13:05:53+0000"
"jobs-report","Terrible","Terrible jobs report just reported. Only 38,000 jobs added. Bombshell!","https://twitter.com/realDonaldTrump/status/738711092252155904","1","2016-06-03T12:37:03+0000"
"jobs-report","Bombshell!","Terrible jobs report just reported. Only 38,000 jobs added. Bombshell!","https://twitter.com/realDonaldTrump/status/738711092252155904","1","2016-06-03T12:37:03+0000"
"katie-couric","third rate reporter","Katie Couric, the third rate reporter, who has been largely forgotten, should be ashamed of herself for the fraudulent editing of her doc.","https://twitter.com/realDonaldTrump/status/737784398515441664","1","2016-05-31T23:14:42+0000"
"katie-couric","has been largely forgotten","Katie Couric, the third rate reporter, who has been largely forgotten, should be ashamed of herself for the fraudulent editing of her doc.","https://twitter.com/realDonaldTrump/status/737784398515441664","1","2016-05-31T23:14:42+0000"
"katie-couric","should be ashamed of herself","Katie Couric, the third rate reporter, who has been largely forgotten, should be ashamed of herself for the fraudulent editing of her doc.","https://twitter.com/realDonaldTrump/status/737784398515441664","1","2016-05-31T23:14:42+0000"
"katie-couric","fraudulent editing","Katie Couric, the third rate reporter, who has been largely forgotten, should be ashamed of herself for the fraudulent editing of her doc.","https://twitter.com/realDonaldTrump/status/737784398515441664","1","2016-05-31T23:14:42+0000"
"gonzalo-curiel","very unfair","I have a judge in the Trump University civil case, Gonzalo Curiel (San Diego), who is very unfair. An Obama pick. Totally biased-hates Trump","https://twitter.com/realDonaldTrump/status/737399475509985280","1","2016-05-30T21:45:09+0000"
"gonzalo-curiel","Totally biased","I have a judge in the Trump University civil case, Gonzalo Curiel (San Diego), who is very unfair. An Obama pick. Totally biased-hates Trump","https://twitter.com/realDonaldTrump/status/737399475509985280","1","2016-05-30T21:45:09+0000"
"gonzalo-curiel","totally biased","I should have easily won the Trump University case on summary judgement but have a judge, Gonzalo Curiel, who is totally biased against me.","https://twitter.com/realDonaldTrump/status/737402123453878272","1","2016-05-30T21:55:41+0000"
"gonzalo-curiel","very biased","Even though I have a very biased and unfair judge in the Trump U civil case in San Diego, I have thousands of great reviews &amp; will win case!","https://twitter.com/realDonaldTrump/status/738413456118841345","1","2016-06-02T16:54:21+0000"
"gonzalo-curiel","unfair","Even though I have a very biased and unfair judge in the Trump U civil case in San Diego, I have thousands of great reviews &amp; will win case!","https://twitter.com/realDonaldTrump/status/738413456118841345","1","2016-06-02T16:54:21+0000"
