slug	display_name	sort_field	display_title	entity_type	
jeb-bush	Jeb Bush	Bush	Former Florida governor	current and former presidential candidates	
ted-cruz	Ted Cruz	Cruz	United States senator	current and former presidential candidates	
hillary-clinton	Hillary Clinton	Clinton	Former secretary of state	current and former presidential candidates	
karl-rove	Karl Rove	Rove	Former deputy White House chief of staff	people	
marco-rubio	Marco Rubio	Rubio	United States senator	current and former presidential candidates	
the-media	The mainstream media	Mainstream media		media	
megyn-kelly	Megyn Kelly	Kelly	Fox News anchor	people	
macys	Macy's	Macy's	Department store	other	
john-kasich	John Kasich	Kasich	Ohio governor	current and former presidential candidates	
union-leader	The New Hampshire Union Leader	New Hampshire Union Leader	Newspaper	media	
politico	Politico	Politico	News organization	media	
wall-street-journal	The Wall Street Journal	Wall Street Journal	Newspaper	media	
the-new-york-times	The New York Times	New York Times	Newspaper	media	
fox-news	Fox News	Fox News	News organization	media	
barack-obama	Barack Obama	Obama	President of the United States	people	
glenn-beck	Glenn Beck	Beck	Television personality	people	
cnn	CNN	CNN	News organization	media	
ben-carson	Ben Carson	Carson	Retired neurosurgeon	current and former presidential candidates	
united-states	The United States of America	United States	Nation	places	
stuart-stevens	Stuart Stevens	Stevens	Political consultant	people	
chuck-todd	Chuck Todd	Todd, Chuck	Moderator, “Meet the Press”	people	
associated-press	The Associated Press	Associated Press	News organization	media	
national-review	National Review	National	Magazine	media	
john-mccain	John McCain	McCain	United States senator	people	
george-will	George Will	Will	Columnist	people	
virginia-republican-party	The Republican Party of Virginia	Republican Party of Virginia	Political party	groups	
politicians	Politicians	Politicians		groups	
mitt-romney	Mitt Romney	Romney	Former Massachusetts governor	people	
frank-luntz	Frank Luntz	Luntz	Political consultant	people	
elizabeth-beck	Elizabeth Beck	Beck	Lawyer	people	
cnbc	CNBC	CNBC	News organization	media	
charles-krauthammer	Charles Krauthammer	Krauthammer	Columnist	people	
washington-post	The Washington Post	Washington Post	Newspaper	media	
scott-walker	Scott Walker	Walker	Wisconsin governor	current and former presidential candidates	
s-e-cupp	S.E. Cupp	Cupp	Columnist	people	
rick-perry	Rick Perry	Perry	Former Texas governor	current and former presidential candidates	
penn-jillette	Penn Jillette	Jillette	Performer	people	
mexico	Mexico	Mexico	Country	places	
iran-deal	The Iran nuclear deal	Iran nuclear deal	International sanctions agreement	other	
huffington-post	The Huffington Post	Huffington Post	News organization	media	
george-w-bush	George W. Bush	Bush	Former president of the United States	people	
erick-erickson	Erick Erickson	Erickson	Conservative commentator	people	
bill-deblasio	Bill de Blasio	deBlasio	Mayor of New York City	people	
samuel-l-jackson	Samuel L. Jackson	Jackson	Actor	people	
rand-paul	Rand Paul	Paul	United States senator	current and former presidential candidates	
presidential-candidates	Other presidential candidates	Other presidential candidates	Mostly Republican politicians	groups	
meet-the-press	“Meet the Press”	Meet the Press	Television show	media	
katy-tur	Katy Tur	Tur	Journalist, NBC News	people	
george-pataki	George Pataki	Pataki	Former New York governor	current and former presidential candidates	
forbes	Forbes	Forbes	Magazine	media	
des-moines-register	The Des Moines Register	Des Moines Register	Newspaper	media	
